NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,id
Šime Vrsaljko,Atlético de Madrid,Spain Primera Division,RB,Gold,80,82,61,78,85,74,66,1
Óliver Torres,Sevilla FC,Spain Primera Division,CM,Gold,78,35,69,74,69,77,79,6
Óscar Duarte,Levante UD,Spain Primera Division,CB,Gold,76,36,29,55,64,76,78,12
Óscar Murillo,Pachuca,Mexico Liga MX,CB,Gold,75,55,68,65,68,74,82,16
Óscar Plano,Real Valladolid,Spain Primera Division,RM,Gold,75,69,41,54,61,74,81,19
Óscar Romero,San Lorenzo de Almagro,Argentina Primera División ,RM,Gold,76,64,42,53,62,76,79,20
İlkay Gündoğan,Manchester City,England Premier League,CM,Gold,86,86,81,82,85,46,67,28
İrfan Can Kahveci,Medipol Başakşehir,Turkey Süper Lig,CM,Gold,76,70,73,74,75,66,77,32
Éder,Jiangsu Suning,China Super League,ST,Gold,84,80,77,85,87,81,87,34
Éder Balanta,Club Brugge,Belgium Jupiler Pro League,CDM,Gold,75,80,75,58,71,36,68,38
Éder Militão,Real Madrid,Spain Primera Division,CB,Gold,84,72,78,76,80,83,84,41
Érick Gutiérrez,PSV,Holland Eredivisie,CM,Gold,75,72,75,69,75,43,67,48
Éver Banega,Sevilla FC,Spain Primera Division,CDM,Gold,83,75,79,82,83,44,47,50
Ádám Nagy,Bristol City,England EFL Championship,CDM,Gold,75,63,43,54,52,72,78,53
Ádám Szalai,TSG 1899 Hoffenheim,Germany 1. Bundesliga,ST,Gold,76,59,69,77,73,69,74,54
Álex Moreno,Real Betis Balompié,Spain Primera Division,LB,Gold,75,87,69,69,77,41,59,65
Álvaro,Olympique de Marseille,France Ligue 1,CB,Gold,78,64,77,77,75,70,70,68
Ángel,Getafe CF,Spain Primera Division,ST,Gold,82,75,81,84,80,67,83,84
Ángel Correa,Atlético de Madrid,Spain Primera Division,RM,Gold,82,67,74,82,84,64,70,87
Ángel Di María,Paris Saint-Germain,France Ligue 1,RW,Gold,87,83,86,73,85,48,75,89
Ángel Mena,León,Mexico Liga MX,RW,Gold,76,68,30,51,60,74,85,95
Łukasz Piszczek,Borussia Dortmund,Germany 1. Bundesliga,RB,Gold,86,69,41,59,66,87,82,109
Łukasz Teodorczyk,Udinese,Italy Serie A,ST,Gold,75,40,67,73,71,72,71,115
Aïssa Mandi,Real Betis Balompié,Spain Primera Division,CB,Gold,80,60,73,78,77,70,66,122
Aarón Martín,1. FSV Mainz 05,Germany 1. Bundesliga,LB,Gold,78,88,63,74,78,62,69,124
Aaron Cresswell,West Ham United,England Premier League,LB,Gold,81,75,82,73,80,50,70,134
Aaron Hunt,Hamburger SV,Germany 2. Bundesliga,CAM,Gold,76,88,74,74,78,40,72,140
Aaron Long,New York Red Bulls,USA Major League Soccer,CB,Gold,75,81,75,65,73,36,72,144
Aaron Mooy,Brighton & Hove Albion,England Premier League,CM,Gold,76,61,77,68,73,41,74,149
Aaron Ramsey,Piemonte Calcio,Italy Serie A,CM,Gold,83,77,82,68,81,29,74,153
Aaron Wan-Bissaka,Manchester United,England Premier League,RB,Gold,79,82,73,60,77,33,78,158
Abderrazak Hamdallah,Al Nassr,Saudi Dawry Jameel League,ST,Gold,79,56,49,47,57,80,76,173
Abdou Diallo,Paris Saint-Germain,France Ligue 1,CB,Gold,79,85,64,79,80,72,78,176
Abdoulay Diaby,Beşiktaş,Turkey Süper Lig,RW,Gold,75,61,77,66,74,38,66,180
Abdoulaye Doucouré,Watford,England Premier League,CM,Gold,84,93,82,78,88,49,71,184
